dt,kw
2021-07-23 00:00:00,0.0
2021-07-23 00:05:00,0.0
2021-07-23 00:10:00,0.0
2021-07-23 00:15:00,0.0
2021-07-23 00:20:00,0.0
2021-07-23 00:25:00,0.0
2021-07-23 00:30:00,0.0
2021-07-23 00:35:00,0.0
2021-07-23 00:40:00,0.0
2021-07-23 00:45:00,0.0
2021-07-23 00:50:00,0.0
2021-07-23 00:55:00,0.0
2021-07-23 01:00:00,0.0
2021-07-23 01:05:00,0.0
2021-07-23 01:10:00,0.0
2021-07-23 01:15:00,0.0
2021-07-23 01:20:00,0.0
2021-07-23 01:25:00,0.0
2021-07-23 01:30:00,0.0
2021-07-23 01:35:00,0.0
2021-07-23 01:40:00,0.0
2021-07-23 01:45:00,0.0
2021-07-23 01:50:00,0.0
2021-07-23 01:55:00,0.0
2021-07-23 02:00:00,0.0
2021-07-23 02:05:00,0.0
2021-07-23 02:10:00,0.0
2021-07-23 02:15:00,0.0
2021-07-23 02:20:00,0.0
2021-07-23 02:25:00,0.0
2021-07-23 02:30:00,0.0
2021-07-23 02:35:00,0.0
2021-07-23 02:40:00,0.0
2021-07-23 02:45:00,0.0
2021-07-23 02:50:00,0.0
2021-07-23 02:55:00,0.0
2021-07-23 03:00:00,0.0
2021-07-23 03:05:00,0.0
2021-07-23 03:10:00,0.0
2021-07-23 03:15:00,0.0
2021-07-23 03:20:00,0.0
2021-07-23 03:25:00,0.0
2021-07-23 03:30:00,0.0
2021-07-23 03:35:00,0.0
2021-07-23 03:40:00,0.0
2021-07-23 03:45:00,0.0
2021-07-23 03:50:00,0.0
2021-07-23 03:55:00,0.0
2021-07-23 04:00:00,0.0
2021-07-23 04:05:00,0.0
2021-07-23 04:10:00,0.0
2021-07-23 04:15:00,0.0
2021-07-23 04:20:00,0.0
2021-07-23 04:25:00,0.0
2021-07-23 04:30:00,0.0
2021-07-23 04:35:00,0.0
2021-07-23 04:40:00,0.0
2021-07-23 04:45:00,0.0
2021-07-23 04:50:00,0.0
2021-07-23 04:55:00,0.0
2021-07-23 05:00:00,0.0
2021-07-23 05:05:00,0.0
2021-07-23 05:10:00,0.0
2021-07-23 05:15:00,0.0
2021-07-23 05:20:00,0.0
2021-07-23 05:25:00,0.0
2021-07-23 05:30:00,0.0
2021-07-23 05:35:00,0.0
2021-07-23 05:40:00,0.0
2021-07-23 05:45:00,0.0
2021-07-23 05:50:00,0.0
2021-07-23 05:55:00,0.0
2021-07-23 06:00:00,0.0
2021-07-23 06:05:00,0.0
2021-07-23 06:10:00,0.0
2021-07-23 06:15:00,0.0
2021-07-23 06:20:00,0.0
2021-07-23 06:25:00,0.0
2021-07-23 06:30:00,0.0
2021-07-23 06:35:00,0.0
2021-07-23 06:40:00,0.0
2021-07-23 06:45:00,0.0
2021-07-23 06:50:00,0.0
2021-07-23 06:55:00,0.0
2021-07-23 07:00:00,0.0
2021-07-23 07:05:00,0.0
2021-07-23 07:10:00,0.0
2021-07-23 07:15:00,0.0
2021-07-23 07:20:00,0.0
2021-07-23 07:25:00,0.0
2021-07-23 07:30:00,0.0
2021-07-23 07:35:00,0.0
2021-07-23 07:40:00,0.0
2021-07-23 07:45:00,0.7433333333333334
2021-07-23 07:50:00,6.1466666666666665
2021-07-23 07:55:00,2.52
2021-07-23 08:00:00,19.96666666666667
2021-07-23 08:05:00,25.386666666666663
2021-07-23 08:10:00,111.23333333333332
2021-07-23 08:15:00,376.2033333333333
2021-07-23 08:20:00,269.23
2021-07-23 08:25:00,272.4233333333333
2021-07-23 08:30:00,257.86
2021-07-23 08:35:00,333.9066666666667
2021-07-23 08:40:00,421.4233333333334
2021-07-23 08:45:00,496.9566666666667
2021-07-23 08:50:00,611.3666666666667
2021-07-23 08:55:00,536.6933333333334
2021-07-23 09:00:00,688.7233333333334
2021-07-23 09:05:00,999.98
2021-07-23 09:10:00,691.87
2021-07-23 09:15:00,750.9000000000001
2021-07-23 09:20:00,1089.75
2021-07-23 09:25:00,1300.7133333333334
2021-07-23 09:30:00,1019.8033333333334
2021-07-23 09:35:00,1002.4233333333334
2021-07-23 09:40:00,1082.6833333333334
2021-07-23 09:45:00,1420.756666666667
2021-07-23 09:50:00,1145.746666666667
2021-07-23 09:55:00,913.5233333333332
2021-07-23 10:00:00,674.8866666666667
2021-07-23 10:05:00,527.65
2021-07-23 10:10:00,689.1866666666667
2021-07-23 10:15:00,1624.9066666666668
2021-07-23 10:20:00,1130.0266666666666
2021-07-23 10:25:00,569.9
2021-07-23 10:30:00,337.5466666666666
2021-07-23 10:35:00,596.4966666666667
2021-07-23 10:40:00,2595.0299999999997
2021-07-23 10:45:00,889.5266666666666
2021-07-23 10:50:00,1303.5333333333333
2021-07-23 10:55:00,2306.84
